"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000186377",0.995784557732161,0.505939232951753,0.469907439906345,0.277746250911409,0.1989475736545
"ENSG00000123080",0.582804679339206,0.803212881999265,0.999860577066691,0.503932606084488,0.185557633430269
"ENSG00000085831",0.372780843489997,0.222763603821447,0.154535604070269,0.427047529723531,0.99924383261047
"ENSG00000085840",0.831781986126169,0.928123364792106,0.999728231672733,0.427191233684471,0.192391376291655
"ENSG00000173406",0.990357325363679,0.105210731468836,0.0895747164888941,0.181524198671013,0.54610261999942
"ENSG00000230798",0.837711778486756,0.996737427224665,0.151536810271592,0.307091098157397,0.585112404790661
"ENSG00000184588",0.121552034282838,0.747600249238527,0.99987542117769,0.940428124914709,0.697307620012673
"ENSG00000235927",0.267196022646597,0.993496073981292,0.36250564360808,0,0.122780977030309
"ENSG00000162614",0.999182470487288,0.936602398582598,0.448067434397609,0.330886398075584,0.108033133254029
"ENSG00000282057",0.214594241158399,0.99738823756673,0.0727851623081631,0.196666630659735,0
"ENSG00000142871",0.724941831240196,0.99988036541604,0.238936849380599,0.175666262613604,0.0914675948112872
"ENSG00000117228",0.646280916751912,0.999920448120716,0.8239734919532,0.312243580357019,0.190725892983686
"ENSG00000228175",0.783796706068446,0,0.0886149447438431,0.538737630396962,0.990460644324937
"ENSG00000224081",0.991226241012139,0.765840296937604,0.163006013065967,0.412916962790848,0.496892506614974
"ENSG00000224616",0.542612964517319,0.144111386464417,0.368082316465843,0.621602558553416,0.997358407851243
"ENSG00000244716",0.12721896844824,0.405453679728222,0.402729495568843,0.349772562567343,0.993806623685727
"ENSG00000134183",0.491236115912956,0.104373057593395,0.53316920693266,0.990434099058904,0.632047060683962
"ENSG00000155761",0.993093347086379,0.452148827446515,0.192476102313309,0.715100919206419,0.586726410535759
"ENSG00000263513",0.400086495231655,0.796935706993457,0.995130666728688,0.595826577954804,0.137884754873802
"ENSG00000281571",0.79091560117976,0.992999274456854,0.325162897948357,0.658946372383305,0.132159547884786
"ENSG00000275557",0.99195150296336,0.439083704670525,0.0747657540474483,0.454540995165073,0.759696779254407
"ENSG00000233030",0.167187202434254,0.266417293180674,0.340235066868622,0.995930428959471,0.537776928749211
"ENSG00000234614",0.597221671492137,0.105743195406188,0.990308524481565,0.182442879571712,0.36591093736184
"ENSG00000196407",0.21609379966594,0.0765225040379063,0.456050162941052,0.990204566006754,0.992986631701038
"ENSG00000163216",0.0986016524135703,0.314248757759978,0.23781894565617,0.331335704665691,0.996799863280059
"ENSG00000163220",0,0,0,0.0320581268780349,0.99659410602886
"ENSG00000143546",0.0334255272820028,0,0.0302323419345407,0.229748214342491,0.998372751552025
"ENSG00000160678",0.734789062278143,0.993496073981292,0.18125282180404,0.367310939118825,0.184171465545463
"ENSG00000232093",0.760456933856038,0.99430443429138,0.211633681664123,0.107219525725876,0.483843457313216
"ENSG00000027869",0.231413143527451,0.32778938104433,0.139537290850473,0.353467416632803,0.992489439274577
