"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000234807",1,0.171375382345394,0.476328465073228,0.4592090881232,0.280402115621963
"ENSG00000230798",1,0,0,0.22371724806002,0.521587152135959
"ENSG00000184588",1,0.970229325720978,0.824175404955086,0.900875807675878,0.163663888882403
"ENSG00000235927",0.267906938248753,1,0.396566633672343,0.183704446474563,0.322806653810357
"ENSG00000171517",0.618913113147141,0.0746393687658971,0.439318645551556,1,0.0666130581806069
"ENSG00000223653",0.169225437848515,1,0.420420265772935,0.236967100906315,0.109281484243122
"ENSG00000282057",0.254162343435318,1,0.913326784265342,0.153997187591637,0.276972037650672
"ENSG00000224093",1,0.217075484304166,0.85178737283683,0.258517708869357,0.193732370793356
"ENSG00000225206",0,1,0.183933866275659,0,0.446232727326082
"ENSG00000155367",1,0.191537192033088,0.250525697893185,0.0570259651917699,0.455840872454956
"ENSG00000260941",0.283488767677855,1,0.641410405474094,0.17176609385221,0.0686511888193973
"ENSG00000223612",0.0793478350188642,0.51673409145621,0.760359194223847,1,0.69175098879861
"ENSG00000143127",0.172058666276728,0.448196619728994,0.586229597286651,0.166800795738663,1
"ENSG00000184260",1,0.449121691663792,0.183574864835524,0.200574084467605,0.467629860535688
"ENSG00000014914",0.701999358409049,0.179278647891598,0.285786928677242,0.468376634434167,1
"ENSG00000118298",0.418790224978649,1,0.535080338256463,0.0811985170937722,0.567932562051377
"ENSG00000238279",0.68823466510691,0.305588604360678,0.166542499229162,0.303274174070297,1
"ENSG00000287064",1,0.276277889114393,0.154870431424878,0.387776563304035,0.317016606752765
"ENSG00000163354",0.929116797894329,0.168073732398373,0,0.300241432329594,1
"ENSG00000272068",1,0.493353373418559,0.193588039281098,0.13219655567183,0.528361011254608
"ENSG00000085552",1,0.180896236920138,0.0591519008914466,0.215431424057797,0.215258189770396
"ENSG00000158874",0,0,0,0,1
"ENSG00000162745",0.728719057172023,0.52729014085764,0.193973028513965,0.529837821758107,1
"ENSG00000272205",1,0.120597491280092,0.118303801782893,0,0.269072737212995
