"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000064989",0.245700055571374,0.149154145285637,0.634937144271335,0.546850672334611,1
"ENSG00000204253",0.395672816764291,0.210171750175215,0.178936831567376,0.634580726719843,1
"ENSG00000138411",0.198392246946959,0.526905614884267,0.538318710390999,1,0.729316063139268
"ENSG00000082126",0.150766568379483,0.854224256720767,1,0.299371026276115,0.13855944699913
"ENSG00000183671",0.139898603070232,0.0990809679397443,0.210889837204408,0.812004317659881,1
"ENSG00000138400",0.969917651740687,0.193198725457565,0.603116332938064,1,0.891386299392439
"ENSG00000229321",0.0941308278668347,1,0.595968687479362,0.431334798591294,0.346037336923929
"ENSG00000138413",0.18184770852799,0.157974869300196,0.239286273388536,0.534447928184193,1
"ENSG00000229127",0.612056388432263,0.0722465391227302,0.246038143405142,0.560924035225576,1
"ENSG00000163449",0.1776302676153,0.606554138064447,0.799479790173713,1,0.963940998180196
"ENSG00000233143",0.104589808740927,1,0.709486532713526,0.527186976056026,0.192242964957738
"ENSG00000213901",0.770228723441133,0.136375570911222,0.174161935714735,1,0.648876791469496
"ENSG00000175084",0.181350041016967,0.674301031812149,0.246038143405142,0.0830998570704557,1
"ENSG00000267034",1,0.193154767612792,0.740019814293708,0.416571863926059,0.584839162240295
"ENSG00000152049",0.206435175877241,0.125318092188691,0.400101744209527,1,0.569162197922875
"ENSG00000144460",0.470654139334174,1,0.425691919628116,0.258800879154776,0.0865093342309822
"ENSG00000241635",1,0.0817193247592581,0.34787256227482,0.422980661832614,0.636253594085596
"ENSG00000123485",1,0.974714549122114,0.850581894706058,0.530050468837906,0.138149777226855
"ENSG00000144481",0.593509225146437,0.525429375438038,0.357873663134752,0.181308779062812,1
"ENSG00000280744",1,0.64664856983413,0.157298897724266,0.0796920087510722,0.0399579551841195
"ENSG00000144476",0.139453078321237,1,0.882916574043499,0.734866693896278,0.448566918234723
"ENSG00000227252",0.593509225146437,0.630515250525645,0.178936831567376,0.815889505782655,1
"ENSG00000227744",0,0.304195954200969,0.310785023248601,0.68229356331532,1
"ENSG00000218416",1,0.106235122187036,0.542681197148719,0.274937430191199,0.55141978154085
"ENSG00000178623",0.21762004922036,0.288986156490921,0.196830514724114,0.548459056665007,1
"ENSG00000130294",0.21762004922036,0.539440825449719,0.131220343149409,0.232679599797276,1
"ENSG00000176720",0.434449974770006,1,0,0.265436799133104,0.266182566864561
"ENSG00000204099",0.021762004922036,0.208070032673463,0.354294926503405,0.538487073816553,1
"ENSG00000233806",0.296754612573218,0.315257625262823,0,0.271963168594218,1
"ENSG00000134115",0.290160065627147,0.154125950128491,0.131220343149409,0.265919542625458,1
"ENSG00000150995",0.192432789916575,0.557131208296233,0.718511741248624,1,0.638740473256501
"ENSG00000235978",0.313769426222782,1,0.141897306542705,0.647002197886941,0.288364447436607
"ENSG00000272498",0.198392246946959,0.632286737861121,0.0897197850651665,1,0.182329015784817
"ENSG00000228956",0.829216126087154,0.783038901994036,1,0.168875963540373,0.508051305663476
"ENSG00000229589",0.453375102542417,0.577972312981842,0.164025428936762,0.997198284845468,1
"ENSG00000280435",1,0.38162131271071,0.27221872348884,0.169055377787469,0.160607703361413
"ENSG00000163808",0.830308637452223,0.988857427616975,1,0.63278424283112,0.196794576897315
"ENSG00000163823",0.878554393423791,1,0.794624916639149,0.402579145351874,0
"ENSG00000283646",1,0.096577383806396,0.082224423810412,0.333257491140847,0.0835484517486136
"ENSG00000227398",0.43806633284618,0.195159482305557,0.421779674408815,0.867692014086316,1
"ENSG00000224424",0.489645110745811,0.346783387789105,0.0984152573620569,0.349019399695914,1
"ENSG00000283189",0.750170683768187,0.144899044093174,0.30841176116151,1,0.438729194232216
"ENSG00000185614",1,0.331984756834486,0.678351496435899,0.515507681608498,0.172318681731516
"ENSG00000164076",0.384035380977106,0.203990228111238,0.1736739835801,0.293293613189843,1
"ENSG00000164078",0.138202687681192,0.587279176495527,1,0.506627890621118,0.317532066039672
"ENSG00000001617",0.0548621972824438,0.087424383476245,0.223295121745843,0.594967043899397,1
